Nama Program;Pemilik Program;Tahun Penyelenggaraan
E-Learning Preparasi Bendahara Pengeluaran/Bendahara Pengeluaran Pembantu bagi Mahasiswa/Lulusan Program Studi Diploma III Kebendaharaan Negara PKN-STAN;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
E-Learning Prinsip Mengenali Pengguna Jasa terkait Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
E-Learning Prinsip-Prinsip Manajemen Keuangan Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-learning Program Reformasi Birokrasi dan Transformasi Kelembagaan (RBTK);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
E-Learning Prosedur Impor Umum;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-learning Proses Bisnis Business Intelligence;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Direktorat Jenderal Pajak untuk Pegawai Direktorat Jenderal Bea dan Cukai;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Direktorat Jenderal Perbendaharaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
E-Learning Proses Bisnis DJP untuk Pegawai DJBC;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Proses Bisnis DJP untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Proses Bisnis Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Intelijen Perpajakan (Operational Intelligence);Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Klaster Business Inteligence dan Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Keberatan dan Non-Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Klaster Manajemen Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pengawasan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Knowledge Management;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Layanan Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Manajemen Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Non-Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Pembayaran;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Penegakan Hukum Pidana Bidang Perpajakan (Criminal Investigation);Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Penerapan PIPK;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
E-Learning Proses Bisnis Pengawasan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Pengelolaan SPT;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Penilaian PIPK;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
E-Learning Proses Bisnis Prioritas Direktorat Jenderal Pajak untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis PSIAP Umum;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Registrasi ;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Reviu PIPK;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
E-Learning Proses Bisnis Taxpayer Account Management;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Rasionalitas Kebijakan Publik dalam Pembiayaan Investasi Pemerintah;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
E-Learning Redesain Sistem Perencanaan dan Penganggaran (RSPP);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
E-Learning Regulasi VAT Refund (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Remote Auditing (Pengantar Menuju Pengawasan Intern Jarak Jauh);Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
E-Learning Restrukturisasi BUMN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
E-Learning SAKTI Modul Admin, Modul Penganggaran, dan Modul Pelaksanaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
E-Learning SAKTI Modul Pelaporan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
E-Learning Servant Leadership;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
E-Learning Service Excellence and Integrity Strengthening;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
E-Learning Service Excellence and Integrity Strengthening Acceleration;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
E-Learning Siklus Pengelolaan BMN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
E-learning Sistem Inti Administrasi Perpajakan (SIAP) Modul Pendaftaran, Pengelolaan SPT, Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Sistem Perbendaharaan dan Anggaran Negara (SPAN) Bagi Pegawai Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
E-Learning Standar Akuntansi Pemerintahan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
E-Learning Tata Cara Pembentukan Jabatan serta Mekanisme Penetapan Jabatan dan Peringkat bagi Pelaksana di Lingkungan Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
E-Learning Tata Cara Tuntutan Ganti Kerugian Negara Terhadap Pegawai Negeri Bukan Bendahara - Manajer;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Tata Cara Tuntutan Ganti Kerugian Negara Terhadap Pegawai Negeri Bukan Bendahara - Staf;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
e-Learning Teknik Penulisan Artikel;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
E-Learning Teknik Penyusunan Laporan Yang Efektif;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
E-Learning Teknik Penyusunan Perjanjian ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
E-learning Tugas dan Fungsi DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-learning Undang-Undang Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-Learning Undang-Undang Cukai Untuk Non Pegawai DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-Learning Undang-Undang Hubungan Keuangan Pusat dan Daerah;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
E-learning Undang-Undang Kepabeanan;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-Learning Undang-Undang Kepabeanan Untuk Non Pegawai DJBC;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
E-Learning Verifikasi Tagihan Belanja Barang Non Pegawai;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Verifikasi Tagihan Belanja Perjalanan Dinas Dalam Negeri;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Verifikasi Tagihan Belanja Perjalanan Dinas Luar Negeri;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Vokasi PKN-STAN: Pelaksanaan Anggaran Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Vokasi PKN-STAN: Perencanaan Keuangan Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
E-Learning Vokasi PKN-STAN: Pertanggungjawaban Keuangan Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
"E-Learning	Kompetensi Manajerial dan Sosial	Kultural Jabatan Fungsional Terampil";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"E-Learning	Kompetensi Manajerial dan Sosial	Kultural Pejabat Fungsional Terampil";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Excecutive Training: Customs Modernization For Timor-Leste Customs Authority Officer;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Executive Course Pengelolaan Keuangan Negara bagi Manajemen Pengelola Keuangan di Lingkungan Pemerintah Daerah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
Executive E-Learning untuk Perwakilan Kementerian Keuangan yang ditugaskan menjadi Dewan Komisaris/Dewan Pengawas pada Perusahaan Negara dan/atau Badan Hukum Lainnya ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Executive Training  In-House Training : Leadership Excellence Keys for a Great Future;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Executive Training ""Optimizing Collaborative Leadership""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Executive Training for the Winners;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
"Executive Training Sharing Session ""Creating Collaborative Solutions: Innovations in Governance""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Executive Training Sharing Session ""Leadership for the 21st Century: Chaos, Conflict, and Courage""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Executive Training Sharing Session “Driving Government Performance: Leadership Strategies that Produce Results”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Executive Training Sharing Session: Being a Leader in the Times of Uncertainties;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Executive Training Sharing Session: Cambridge Islamic Finance Leadership Programme  and Oxford Programme on Negotiation;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Executive Training Sharing Session: Digital Transformation In Government;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Executive Training Sharing Session: Human Resource and Business Transformation with AI and Data Analytics;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Executive Training Sharing Session: Leadership and Decision Making in Uncertain Times;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Executive Training Sharing Session: Leading For Organisational Impact;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Executive Training Sharing Session: Management Development and Strategic Thinking;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Executive Training Sharing Session: New Approaches and Policy Design to Achieve Economic Growth;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Executive Training Sharing Session: The Use of Artificial Intelligence (AI) and Big Data Analytics in Public Sector;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Executive Webinar Data Exchange and Data Analytics;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Executive Workshop Penguatan Budaya Organisasi: Leaders Perspectives;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Executive Workshop Strategi Komunikasi untuk Kebijakan Publik;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Executive Workshop–The Future of Money: Risk and Opportunities; Regulatory Framework; and Role of Government, Authorities, and Central Bank";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
FGD Pemblokiran Harta Wajib Pajak/Penanggung Pajak yang Tersimpan di Bank;Pusat Pendidikan dan Pelatihan Pajak;2021
FGD Pengembangan dan Penyusunan Kisi-kisi Tes Potensi Akademik Tahun Anggaran 2022;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Focus Group Discussion ""Mempertahankan Performa Asesor: Behavioral Event Interview""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Integrasi Data""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Konsep Dasar Assessment Center""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Simulasi Case Analysis""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Simulasi In-Tray""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Simulasi Leaderless Group Discussion""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Mempertahankan Performa Asesor: Simulasi Presentasi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Meningkatkan dan Mempertahankan Performa Asesor dalam Melakukan Pengamatan Secara Online""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Focus Group Discussion ""Penerapan Gamification untuk Kebutuhan Seleksi"" Tahun Anggaran 2022";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Focus Group Discussion ""Penyusunan Laporan Penilaian Kompetensi Manajerial Sosial Kultural"" ";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Focus Group Discussion ""Tantangan Riset Pada Era Pandemi""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Focus Group Discussion (FGD) Community of Practice (CoP) Bendahara Pengeluaran dan Bendahara Pengeluaran Pembantu Peraturan Perpajakan: Refreshment Regulasi Bagi Bendahara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Focus Group Discussion (FGD) Pengelolaan Keuangan Desa untuk Aparatur Pengelola;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Focus Group Discussion (FGD) Pengelolaan Keuangan Desa untuk Calon Mentor;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Focus Group Discussion “’Go Digital.. Stay Personal’ - Apakah Semua yang Didigitalisasi Masih Dapat Menggambarkan Keunikan Pribadi? dan Mengeliminasi Bias dalam Proses Seleksi Karyawan Berbasis Data Otomatisasi (Artificial Intelligence)”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Focus Group Discussion “Sharing Session Pengumpulan dan Pemanfaatan Rubrik Perilaku”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Focus Group Discussion Community of Practice Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2024
Focus Group Discussion Importasi Daging Sapi;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Focus Group Discussion Interpretasi Hasil Uji Coba Tes Psikologi Berbasis Komputer ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Focus Group Discussion Penyusunan Course of Action Dalam Penilaian Kompetensi Manajerial Sosial Kultural;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Forum Ilmiah Keuangan Negara;Sekretariat Badan;2021
Fraud Risk Management Workshop;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
GDLN Seminar Series: Public Sector Innovations for Sustainable Development;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Ideas Chamber;Sekretariat Badan;2023
Impor Barang Bawaan Penumpang yang Datang dari Luar Daerah Pabean (Microlearning Seri 2 dari program E-Learning Ekspor dan Impor Barang Bawaan Penumpang;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
In House Training Service Excellence Pusat Pembinaan Profesi Keuangan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
International Conference on Customs and Tax Cooperation;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
International Conference on Customs and Tax Cooperation - Day 1;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
International Conference on Customs and Tax Cooperation - Day 2;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
International Conference on Digital Transformation in Customs;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
"Kangen Srawung (Kawung) ""Berbagi Semangat dalam Menginisiasi Perubahan sebagai Wujud Mencintai Negeri""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Kegiatan Lomba/Peringatan Lainnya;Sekretariat Badan;2024
"Kemenkeu  Corporate University Talk ""Biaya Haji di Arab Saudi Turun, Kenapa di Indonesia Naik?""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu  Corpu Open Class ""Implementasi Pengarusutamaan Gender (PUG): Pencegahan Kekerasan dalam Rumah Tangga""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate Open Class ""New Normal New Hospitality: Transformasi Standar Pelayanan di Era New Normal""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Kemenkeu Corporate University Goes to UMKM Berupa Bimbingan Teknis Pemberdayaan UMKM di LIngkungan Kementerian Keuangan Provinsi Jawa Timur;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corporate University Goes to UMKM: Pengelolaan Keuangan dan Inovasi Produk UMKM Sumatera Selatan (Daring);Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corporate University Goes to UMKM: Pengelolaan Keuangan dan Inovasi Produk UMKM Sumatera Selatan (Luring);Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corporate University Open Class  “Pemberian Fasilitas dan Pengawasan Kepabeanan dan Cukai”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Kemenkeu Corporate University Open Class  Bela Pengadaan untuk UMKM Bangkit;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
"Kemenkeu Corporate University Open Class ""Bijak Mengelola Sampah Menuju Kota Bersih dan Bersinar""  ";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Cerdas Berintegritas: Mencetak Generasi Madani Tanpa Korupsi""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Creative Capture With Coach Ragun and Team""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corporate University Open Class ""Hospitality dan Upgrade Skill bagi Tenaga Honorer""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
"Kemenkeu Corporate University Open Class ""Interpretasi Data""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Keuangan Inklusif dan Pendampingan UMKM""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Korupsi Musuh Bersama""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corporate University Open Class ""Kreatif Menulis Buku""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Membentuk Tim yang Efektif Dengan Menerapkan 3K (Kerjasama, Kolaborasi dan Kredibilitas)""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Kemenkeu Corporate University Open Class ""Membuat Foto Produk yang Ciamik bagi UMKM""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Menjaga Keberlangsungan Organisasi Melalui Pendokumentasian Pengetahuan""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Obrolan Seputar Desa Wisata (Obsesi) II: Penghitungan Paket Wisata dan Strategi Pemasarannya""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
"Kemenkeu Corporate University Open Class ""Peluang dan Tantangan Implementasi Ekonomi Syariah dalam Mewujudkan Pertumbuhan Ekonomi yang Inklusif dan Berkualitas"" ";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Pemanfaatan Data Analytics dan Generative Artificial Intelligence dalam Proses Bisnis Kementerian Keuangan""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
"Kemenkeu Corporate University Open Class ""Peran Serta Pegawai Kemenkeu dalam Upaya Pemberantasan Korupsi""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corporate University Open Class ""Perluas Pasar UMKM melalui Strategi Digital Marketing""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corporate University Open Class ""Transformasi Menuju BPPK Yang Inklusif dan Adaptif, Membangun Lingkungan Kerja Apresiatif dan Responsif Gender""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
"Kemenkeu Corporate University Open Class #LompatLebihTinggi: Upskill Kompetensi Manajerial Anda, Sekarang""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan DJP: Edukasi dan Compliance Risk Management""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan DJP: Towards Taxpayer Compliance""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan Wajib Pajak: Pengawasan dan Tata Kelola Data""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pajak Fasilitas Kantor Berdasarkan PMK No.66/2023""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pajakku untuk Negeriku""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pemeriksaan dan Penegakan Hukum""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Penerapan Tarif Efektif PPh 21 Berdasarkan PP Nomor 58 Tahun 2023""";Pusat Pendidikan dan Pelatihan Pajak;2024
"Kemenkeu Corporate University Open Class (KCOC) ""Peran Srikandi Pajak untuk Meningkatkan Kompetensi Pegawai dalam Rangka Mencapai Tujuan Organisasi""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Sinkronisasi NPWP-NIK dan Pengisian SPT bagi UMKM Taat Pajak""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Strategi Pengelolaan PPH Pasal 21 dan Overview Aplikasi Kalkulator Pajak""";Pusat Pendidikan dan Pelatihan Pajak;2024
Kemenkeu Corporate University Open Class (KCOC) “Kewajiban PPh atas Pemberian Imbalan Berbentuk Natura dan/atau Kenikmatan”;Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corporate University Open Class (KCOC) Pemberlakuan Tarif Efektif Rata-Rata (TER) dalam Penghitungan PPh Pasal 21 berdasarkan PMK 168/2023 dan PER 2/PJ/2024;Pusat Pendidikan dan Pelatihan Pajak;2024
Kemenkeu Corporate University Open Class “Lebih Produktif dan Terlindungi Dengan Vaksinasi”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
KEMENKEU CORPORATE UNIVERSITY OPEN CLASS “MEMBANGUN INTEGRITAS DENGAN FINANCIAL PLANNING YANG CERDAS” ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corporate University Open Class “Pemanfaatan Media Sosial sebagai Media Komunikasi Publik”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corporate University Open Class “Pembiayaan UMKM Berkelanjutan: Mendorong Pertumbuhan melalui Securities Crowd Funding Syariah”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
KEMENKEU CORPORATE UNIVERSITY OPEN CLASS “PENERAPAN ASAS KEADILAN RESTORATIF (RESTORATIVE JUSTICE) DALAM PIDANA CUKAI”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2024
"Kemenkeu Corporate University Open Class Kehumasan Sekretariat Bersama Kemenkeu Satu Sumatera Selatan ""Take Your Presentation to Next Level: Informative and Aesthetic""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corporate University Open Class Penguatan Kompetensi Pejabat Pembuat Komitmen dan Pejabat Pengadaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corporate University Open Class Penyusunan Peraturan Daerah;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corporate University Open Class Strategi Langkah-langkah Akhir Tahun Berkualitas;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
"Kemenkeu Corporate University Open Class Uangku Episode 2: ""UMKM Mau Lapor SPT Pake NIK? Gampang Kok!""";Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corporate University Open Class UMKM Bangkit Bersama Kemenkeu (UANGKU);Pusat Pendidikan dan Pelatihan Pajak;2022
Kemenkeu Corporate University Open Class Visualisasi Informasi Dengan Infografis;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corporate University Talk ""Kebijakan Pemindahan ASN Kemenkeu ke IKN""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corporate University Talk ""Peran EA dalam Transformasi Digital Instansi Pemerintah""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corporate University Talk ""Skema Kebijakan Fiskal di Ibu Kota Nusantara (IKN)""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corporate University Talk ""Skema KPBU dan Pembiayaan Kreatif dalam Penyediaan Infrastruktur di IKN""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corporate University Talk “Series IKN: Tatanan Baru Kemenkeu di IKN”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corpu Open  Class Implementasi Kebijakan Langkah-Langkah Strategis Pelaksanaan  Anggaran (LLSPA) Tahun Anggaran 2024:  Optimalisasi Belanja yang Berkualitas;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
"Kemenkeu Corpu Open Class  ""Ada Apa dengan G20: Behind the Scene pelaksanaan G20 di Indonesia""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Blockchain Technology and Digital Asset""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
