id_program;nama_program;pusdiklat;tahun
PR155;E-Learning Akselerasi Bendahara Penerimaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR156;E-Learning Akselerasi Bendahara Pengeluaran/Bendahara Pengeluaran Pembantu ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR157;E-Learning Akuntansi Pajak Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
PR158;E-Learning Akuntansi Pajak Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
PR159;E-Learning Algoritma;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR160;E-Learning Analisis Beban Kerja;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR161;E-learning Analisis dan Proyeksi Perekonomian Daerah Tingkat Lanjutan untuk Jafung AKPD;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
PR162;E-Learning Analisis Dasar Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR163;E-Learning Analisis Jabatan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR164;E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
PR165;E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
PR166;E-Learning Antikorupsi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR167;E-Learning Aplikasi SIKRI Modul Pelaporan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR168;E-Learning Asah Kreativitas Diri Konsisten Berinovasi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR169;E-learning Asistensi UMKM Siap Ekspor;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
PR170;E-Learning Audit untuk Non Pejabat Fungsional Auditor;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR171;E-Learning Basic Learning Design;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR172;E-Learning Basic of Macroeconomics: Concepts and Policies;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR173;E-Learning Bendahara Penerimaan ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR174;E-Learning Bendahara Penerimaan (Crash Program BNT) ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR175;E-Learning Bendahara Pengeluaran APBN;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
PR176;E-Learning Bendahara Pengeluaran/Bendahara Pengeluaran Pembantu ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
